index3,label3
1,analyzing data (image and text)
2,MH buzzwords
3,research buzzwords
4,survey data
5,modeling
6,public vs. private; text mining
7,research buzzwords
8,data collection
9,text
10,?
11,dem_dist
12,SM/internet as an info seeking/sharing tool
13,universities
14,data labeling
15,SM as support
16,dem_dist (nationality/ethnicity)
17,dem_dist (nationality/ethnicity)
18,text
19,text
20,dem_dist
