95,0
85,0
80,0
66.66,0
33.33,0
33.33,0
66.66,14.29
47.62,19.05
42.86,19.05
100,0
93.33,0
86.67,0
100,0
100,0
87.5,0
95.45,0
95.45,0
81.82,0
92.86,0
50,28.57
35.71,35.71
66.67,22.22
44.44, 33.33
22.22,55.56
100,0
78.57,0
78.57,0
100,0
100,0
92.86,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
88.89,0
88.89,0
88,0
80,8
72,8
0,100
0,100
0,100
0,50
0,50
0,50
15.38,30.77
0,38.46
0,46.15
0,100
0,100
0,100
0,60
0,60
0,60
44.44,44.44
11.11,88.89
11.11,88.89
50,50
10,70
0,80
16.67,83.33
0,100
0,100
0,60
0,60
0,60
27.27,45.45
0,63.64
0,72.73
22.22,22.22
11.11,44.44
0,55.55
